ID from CIS Mail,"ID )سوا مر( from
Registration
Google Sheet",PROBLEM#1,,,,,PROBLEM#2,,,,TOTAL
,,STATUS,SAMPLE,COMPLETE,MARK,COMMENT,STATUS,SAMPLE,COMPLETE,MARK,(... / 12)
20201701185,20201701180,OK,100,0,2,,OK,100,100,4,6
20201700486,20201700486,OK,100,100,8,,OK,100,80,3.4,11.4
20201701065,20201701065,OK,100,100,8,,OK,100,100,4,12
20201700239,20201700239,OK,100,100,8,,OK,100,100,4,12
20201700783,20201700783,OK,100,100,8,,OK,100,80,3.4,11.4
20201700836,20201700836,OK,80,100,7.6,,OK,100,80,3.4,11
20201700449,20201700449,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701080,20201701080,OK,0,0,0,,OK,100,80,3.4,3.4
20201700446,20201700446,OK,100,0,2,,OK,100,80,3.4,5.4
20201700862,20201700862,OK,100,90,7.4,,OK,100,80,3.4,10.8
20201701221,20201700875,OK,100,0,2,,OK,100,100,4,6
20201700145,20201700145,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20191700874,20191700874,OK,100,0,2,,OK,100,100,4,6
20201700367,20201700367,OK,100,100,8,,OK,100,100,4,12
20201700988,20201700989,OK,100,90,7.4,,OK,100,100,4,11.4
20201701034,20201701035,OK,100,100,8,,OK,100,100,4,12
20201701142,20201701142,OK,100,90,7.4,,OK,100,80,3.4,10.8
20201700356,20201700356,OK,80,100,7.6,,OK,100,80,3.4,11
20191700450,20191700450,OK,0,0,0,,OK,100,80,3.4,3.4
20201701267,20201701267,OK,100,100,8,,OK,100,100,4,12
20201700811,20201700811,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701197,20201701197,OK,100,100,8,,OK,100,100,4,12
20201700046,20201700046,OK,100,0,2,,OK,100,100,4,6
20201700452,20201700452,OK,100,100,8,,OK,100,100,4,12
20201700440,20201700440,OK,100,100,8,,OK,100,80,3.4,11.4
20201700568,20201700568,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700043,2020170043,OK,100,100,8,,OK,100,100,4,12
20191700533,20191700533,NOT DELIVERED,,,,,OK,100,100,4,4
20201700156,20201700156,OK,100,100,8,,OK,100,100,4,12
20201701057,20201701057,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700810,20201700810,OK,100,100,8,,OK,100,80,3.4,11.4
20201700692,20201700692,OK,100,100,8,,OK,100,80,3.4,11.4
12122002,20201700813,OK,80,90,7,,OK,100,20,1.6,8.6
20201700010,20201700010,COMPILE_ERR,0,0,0,,OK,100,80,3.4,3.4
20201700677,20201700677,OK,100,10,2.6,,OK,100,80,3.4,6
20201700958,20201700959,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700880,20201700881,OK,100,100,8,,OK,100,80,3.4,11.4
20201700934,20201700935,OK,80,100,7.6,,OK,100,80,3.4,11
20201701118,20201701118,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700149,20201700149,OK,100,100,8,,OK,100,80,3.4,11.4
20201700091,20201700091,EXCEPTION,0,0,0,,TIME OUT,0,0,0,0
20201700095,20201700095,OK,100,100,8,,OK,100,80,3.4,11.4
20201701195,20201701195,OK,80,100,7.6,,OK,100,100,4,11.6
20201700542,20201700542,OK,100,60,5.6,,OK,100,100,4,9.6
20201700098,20201700098,OK,100,100,8,,OK,100,100,4,12
20191700289,20191700289,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700975,20201700976,OK,100,100,8,,OK,100,100,4,12
20201700219,20201700219,WRONG SUBMISSION,0,0,0,,OK,100,70,3.1,3.1
20201700441,20201700441,OK,100,0,2,,OK,80,70,2.9,4.9
20201700533,20201700533,OK,100,0,2,,OK,100,100,4,6
20191700048,20191700048,OK,100,100,8,,OK,100,70,3.1,11.1
20201701233,20201701233,OK,100,100,8,,OK,100,100,4,12
20201700524,20201700524,OK,100,100,8,,OK,100,100,4,12
20201700832,20201700832,OK,100,100,8,,OK,100,100,4,12
20191700726,20191700726,OK,0,0,0,,OK,100,100,4,4
20201700851,20201700851,COMPILE_ERR,0,0,0,,OK,0,0,0,0
20201700702,20201700702,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700130,20201700130,NOT DELIVERED,,,,,OK,100,100,4,4
20201700655,20201700655,OK,100,0,2,,OK,100,100,4,6
20201700823,20201700823,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700903,20201700904,OK,100,100,8,,OK,100,100,4,12
202017009032,#N/A,NOT DELIVERED,,,,,OK,100,100,4,4
20201700341,20201700341,OK,100,100,8,,OK,100,100,4,12
20201700406,20201700406,OK,100,100,8,,OK,100,70,3.1,11.1
20201700063,20201700063,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700400,20201700400,OK,100,100,8,,OK,100,70,3.1,11.1
20201700540,20201700540,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700888,20201700889,OK,100,100,8,,OK,100,100,4,12
20201700324,20201700324,OK,100,100,8,,OK,100,100,4,12
20201700640,20201700640,OK,0,0,0,,OK,100,100,4,4
20201701226,20201701209,OK,100,100,8,,OK,100,70,3.1,11.1
20201700591,20201700591,OK,100,100,8,,OK,100,80,3.4,11.4
20201701120,20201701120,OK,100,90,7.4,,OK,100,100,4,11.4
20201700469,20201700469,OK,100,100,8,,OK,100,80,3.4,11.4
20201700902,20201700903,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700936,20201700937,OK,100,100,8,,OK,100,100,4,12
20201700937,20201700938,OK,100,100,8,,OK,100,100,4,12
